,County,Median Sale Price,Average Sale Price
490,Hartford,231750.0,264817.23
491,Hartford,225000.0,249238.57
492,Hartford,230000.0,257869.69
493,Hartford,241000.0,276899.65
494,Hartford,250000.0,284871.8
495,Hartford,260000.0,297728.77
496,Hartford,268950.0,304804.62
497,Hartford,277000.0,314632.98
498,Hartford,259000.0,286859.5
499,Hartford,250000.0,290889.36
500,Litchfield,205326.17,287938.0
501,Litchfield,193006.6,298960.24
502,Litchfield,199242.44,294080.91
503,Litchfield,212930.85,274440.4
504,Litchfield,208368.04,294296.5
505,Litchfield,230383.57,289057.5
506,Litchfield,231182.06,281143.13
507,Litchfield,233463.46,341436.43
508,Litchfield,214185.62,281995.48
509,Litchfield,212930.85,259296.7
510,Litchfield,209888.98,285076.6
511,Litchfield,228140.19,305387.58
512,Litchfield,212954.89,299571.44
513,Litchfield,222311.44,316106.33
514,Litchfield,235036.33,303592.22
515,Litchfield,215948.99,278232.09
516,Litchfield,221562.91,310017.3
517,Litchfield,229048.15,284877.39
518,Litchfield,227551.1,313439.67
519,Litchfield,239527.47,303453.0
520,Litchfield,232042.24,302864.03
521,Litchfield,237955.57,305537.52
522,Litchfield,224557.01,294251.06
523,Litchfield,247012.71,359077.41
524,Litchfield,248049.25,334290.79
525,Litchfield,230634.58,280534.74
526,Litchfield,216585.77,294323.71
527,Litchfield,224268.72,298698.33
528,Litchfield,241463.87,336789.01
529,Litchfield,240732.16,323915.65
530,Litchfield,263415.13,335037.6
531,Litchfield,272927.34,339981.51
532,Litchfield,270732.22,351143.84
533,Litchfield,260188.3,322271.21
534,Litchfield,278049.3,353936.97
535,Litchfield,251707.79,302857.57
536,Litchfield,277951.82,321272.14
537,Litchfield,242316.98,359451.99
538,Litchfield,273319.29,344295.18
539,Litchfield,279377.22,375053.77
540,Litchfield,276526.43,362901.86
541,Litchfield,271715.73,372433.83
542,Litchfield,302896.22,371790.46
543,Litchfield,285007.53,355008.26
544,Litchfield,277951.82,382564.38
545,Litchfield,285078.79,371178.97
546,Litchfield,285078.79,351251.56
547,Litchfield,270824.86,373892.07
548,Litchfield,296480.67,393024.63
549,Litchfield,257179.74,392335.13
550,Litchfield,263178.31,370873.88
551,Litchfield,290620.0,389698.83
552,Litchfield,303375.57,385702.27
553,Litchfield,324060.27,396093.79
554,Litchfield,320854.14,413599.01
555,Litchfield,324060.27,389200.91
556,Litchfield,326818.23,422124.96
557,Litchfield,329920.93,436686.41
558,Litchfield,337850.06,446856.02
559,Litchfield,308753.59,396265.77
560,Litchfield,317818.9,411831.06
561,Litchfield,292569.73,391573.42
562,Litchfield,300585.34,365754.57
563,Litchfield,285890.06,350206.05
564,Litchfield,301921.27,384649.3
565,Litchfield,331979.81,372543.73
566,Litchfield,287225.99,352584.78
567,Litchfield,307265.01,397698.29
568,Litchfield,306597.05,403684.13
569,Litchfield,307265.01,394036.7
570,Litchfield,299249.4,403269.69
571,Litchfield,297913.47,421808.43
572,Litchfield,318170.78,429832.85
